mesh_heading,tree_number,major_tree_number,major_mesh_heading
Mitochondrial Encephalomyopathies,C05.651.460.620,C05,Musculoskeletal Diseases
MELAS Syndrome,C05.651.460.620.520,C05,Musculoskeletal Diseases
MERRF Syndrome,C05.651.460.620.530,C05,Musculoskeletal Diseases
"Ophthalmoplegia, Chronic Progressive External",C05.651.460.700,C05,Musculoskeletal Diseases
Kearns-Sayre Syndrome,C05.651.460.700.500,C05,Musculoskeletal Diseases
Muscle Cramp,C05.651.475,C05,Musculoskeletal Diseases
Muscle Neoplasms,C05.651.494,C05,Musculoskeletal Diseases
Muscle Rigidity,C05.651.504,C05,Musculoskeletal Diseases
Muscle Spasticity,C05.651.512,C05,Musculoskeletal Diseases
Muscle Weakness,C05.651.515,C05,Musculoskeletal Diseases
"Muscular Disorders, Atrophic",C05.651.534,C05,Musculoskeletal Diseases
Muscular Dystrophies,C05.651.534.500,C05,Musculoskeletal Diseases
Distal Myopathies,C05.651.534.500.074,C05,Musculoskeletal Diseases
Glycogen Storage Disease Type VII,C05.651.534.500.149,C05,Musculoskeletal Diseases
"Muscular Dystrophies, Limb-Girdle",C05.651.534.500.280,C05,Musculoskeletal Diseases
Sarcoglycanopathies,C05.651.534.500.280.500,C05,Musculoskeletal Diseases
"Muscular Dystrophy, Duchenne",C05.651.534.500.300,C05,Musculoskeletal Diseases
"Muscular Dystrophy, Emery-Dreifuss",C05.651.534.500.350,C05,Musculoskeletal Diseases
Autosomal Emery-Dreifuss Muscular Dystrophy,C05.651.534.500.350.250,C05,Musculoskeletal Diseases
X-Linked Emery-Dreifuss Muscular Dystrophy,C05.651.534.500.350.500,C05,Musculoskeletal Diseases
"Muscular Dystrophy, Facioscapulohumeral",C05.651.534.500.400,C05,Musculoskeletal Diseases
"Muscular Dystrophy, Oculopharyngeal",C05.651.534.500.450,C05,Musculoskeletal Diseases
Myotonic Dystrophy,C05.651.534.500.500,C05,Musculoskeletal Diseases
Postpoliomyelitis Syndrome,C05.651.534.750,C05,Musculoskeletal Diseases
Musculoskeletal Pain,C05.651.538,C05,Musculoskeletal Diseases
Myalgia,C05.651.542,C05,Musculoskeletal Diseases
Myofascial Pain Syndromes,C05.651.550,C05,Musculoskeletal Diseases
Temporomandibular Joint Dysfunction Syndrome,C05.651.550.905,C05,Musculoskeletal Diseases
"Myopathies, Structural, Congenital",C05.651.575,C05,Musculoskeletal Diseases
"Myopathies, Nemaline",C05.651.575.290,C05,Musculoskeletal Diseases
"Myopathy, Central Core",C05.651.575.300,C05,Musculoskeletal Diseases
Myositis,C05.651.594,C05,Musculoskeletal Diseases
"Myositis, Inclusion Body",C05.651.594.600,C05,Musculoskeletal Diseases
Myositis Ossificans,C05.651.594.638,C05,Musculoskeletal Diseases
Orbital Myositis,C05.651.594.728,C05,Musculoskeletal Diseases
Polymyositis,C05.651.594.819,C05,Musculoskeletal Diseases
Dermatomyositis,C05.651.594.819.500,C05,Musculoskeletal Diseases
Pyomyositis,C05.651.594.909,C05,Musculoskeletal Diseases
Myotonic Disorders,C05.651.662,C05,Musculoskeletal Diseases
Myotonia Congenita,C05.651.662.500,C05,Musculoskeletal Diseases
Myotonic Dystrophy,C05.651.662.750,C05,Musculoskeletal Diseases
Myotoxicity,C05.651.682,C05,Musculoskeletal Diseases
"Paralyses, Familial Periodic",C05.651.701,C05,Musculoskeletal Diseases
Hypokalemic Periodic Paralysis,C05.651.701.450,C05,Musculoskeletal Diseases
"Paralysis, Hyperkalemic Periodic",C05.651.701.600,C05,Musculoskeletal Diseases
Polymyalgia Rheumatica,C05.651.742,C05,Musculoskeletal Diseases
Rhabdomyolysis,C05.651.807,C05,Musculoskeletal Diseases
Myoglobinuria,C05.651.807.628,C05,Musculoskeletal Diseases
Tendinopathy,C05.651.869,C05,Musculoskeletal Diseases
Elbow Tendinopathy,C05.651.869.435,C05,Musculoskeletal Diseases
Tennis Elbow,C05.651.869.435.500,C05,Musculoskeletal Diseases
Enthesopathy,C05.651.869.653,C05,Musculoskeletal Diseases
Giant Cell Tumor of Tendon Sheath,C05.651.869.762,C05,Musculoskeletal Diseases
"Synovitis, Pigmented Villonodular",C05.651.869.762.500,C05,Musculoskeletal Diseases
Tendon Entrapment,C05.651.869.816,C05,Musculoskeletal Diseases
De Quervain Disease,C05.651.869.816.200,C05,Musculoskeletal Diseases
Trigger Finger Disorder,C05.651.869.816.800,C05,Musculoskeletal Diseases
Tenosynovitis,C05.651.869.870,C05,Musculoskeletal Diseases
Musculoskeletal Abnormalities,C05.660,C05,Musculoskeletal Diseases
Arthrogryposis,C05.660.077,C05,Musculoskeletal Diseases
Campomelic Dysplasia,C05.660.142,C05,Musculoskeletal Diseases
Craniofacial Abnormalities,C05.660.207,C05,Musculoskeletal Diseases
22q11 Deletion Syndrome,C05.660.207.103,C05,Musculoskeletal Diseases
DiGeorge Syndrome,C05.660.207.103.500,C05,Musculoskeletal Diseases
Cleidocranial Dysplasia,C05.660.207.207,C05,Musculoskeletal Diseases
Costello Syndrome,C05.660.207.219,C05,Musculoskeletal Diseases
Craniofacial Dysostosis,C05.660.207.231,C05,Musculoskeletal Diseases
Hallermann's Syndrome,C05.660.207.231.427,C05,Musculoskeletal Diseases
Hypertelorism,C05.660.207.231.480,C05,Musculoskeletal Diseases
Mandibulofacial Dysostosis,C05.660.207.231.576,C05,Musculoskeletal Diseases
Goldenhar Syndrome,C05.660.207.231.576.410,C05,Musculoskeletal Diseases
Craniosynostoses,C05.660.207.240,C05,Musculoskeletal Diseases
Acrocephalosyndactylia,C05.660.207.240.100,C05,Musculoskeletal Diseases
Donohue Syndrome,C05.660.207.325,C05,Musculoskeletal Diseases
Holoprosencephaly,C05.660.207.410,C05,Musculoskeletal Diseases
LEOPARD Syndrome,C05.660.207.525,C05,Musculoskeletal Diseases
Loeys-Dietz Syndrome,C05.660.207.532,C05,Musculoskeletal Diseases
Megalencephaly,C05.660.207.536,C05,Musculoskeletal Diseases
Hemimegalencephaly,C05.660.207.536.500,C05,Musculoskeletal Diseases
Maxillofacial Abnormalities,C05.660.207.540,C05,Musculoskeletal Diseases
Dentofacial Deformities,C05.660.207.540.229,C05,Musculoskeletal Diseases
Jaw Abnormalities,C05.660.207.540.460,C05,Musculoskeletal Diseases
Cleft Palate,C05.660.207.540.460.185,C05,Musculoskeletal Diseases
Micrognathism,C05.660.207.540.460.457,C05,Musculoskeletal Diseases
Pierre Robin Syndrome,C05.660.207.540.460.606,C05,Musculoskeletal Diseases
Prognathism,C05.660.207.540.460.655,C05,Musculoskeletal Diseases
Retrognathia,C05.660.207.540.460.827,C05,Musculoskeletal Diseases
Microcephaly,C05.660.207.620,C05,Musculoskeletal Diseases
Porencephaly,C05.660.207.620.500,C05,Musculoskeletal Diseases
Noonan Syndrome,C05.660.207.690,C05,Musculoskeletal Diseases
Orofaciodigital Syndromes,C05.660.207.700,C05,Musculoskeletal Diseases
Plagiocephaly,C05.660.207.707,C05,Musculoskeletal Diseases
"Plagiocephaly, Nonsynostotic",C05.660.207.707.624,C05,Musculoskeletal Diseases
Platybasia,C05.660.207.720,C05,Musculoskeletal Diseases
Rubinstein-Taybi Syndrome,C05.660.207.850,C05,Musculoskeletal Diseases
Silver-Russell Syndrome,C05.660.207.925,C05,Musculoskeletal Diseases
Developmental Dysplasia of the Hip,C05.660.297,C05,Musculoskeletal Diseases
"Hip Dislocation, Congenital",C05.660.297.500,C05,Musculoskeletal Diseases
Funnel Chest,C05.660.386,C05,Musculoskeletal Diseases
Gastroschisis,C05.660.417,C05,Musculoskeletal Diseases
Klippel-Feil Syndrome,C05.660.551,C05,Musculoskeletal Diseases
"Limb Deformities, Congenital",C05.660.585,C05,Musculoskeletal Diseases
Arachnodactyly,C05.660.585.174,C05,Musculoskeletal Diseases
Brachydactyly,C05.660.585.262,C05,Musculoskeletal Diseases
Ectromelia,C05.660.585.350,C05,Musculoskeletal Diseases
"Lower Extremity Deformities, Congenital",C05.660.585.512,C05,Musculoskeletal Diseases
"Foot Deformities, Congenital",C05.660.585.512.380,C05,Musculoskeletal Diseases
Talipes,C05.660.585.512.380.813,C05,Musculoskeletal Diseases
Clubfoot,C05.660.585.512.380.813.063,C05,Musculoskeletal Diseases
Equinus Deformity,C05.660.585.512.380.813.125,C05,Musculoskeletal Diseases
Flatfoot,C05.660.585.512.380.813.250,C05,Musculoskeletal Diseases
Talipes Cavus,C05.660.585.512.380.813.500,C05,Musculoskeletal Diseases
Tarsal Coalition,C05.660.585.512.380.875,C05,Musculoskeletal Diseases
Polydactyly,C05.660.585.600,C05,Musculoskeletal Diseases
Pallister-Hall Syndrome,C05.660.585.600.374,C05,Musculoskeletal Diseases
Short Rib-Polydactyly Syndrome,C05.660.585.600.750,C05,Musculoskeletal Diseases
Proteus Syndrome,C05.660.585.620,C05,Musculoskeletal Diseases
Syndactyly,C05.660.585.800,C05,Musculoskeletal Diseases
Acrocephalosyndactylia,C05.660.585.800.100,C05,Musculoskeletal Diseases
Fraser Syndrome,C05.660.585.800.428,C05,Musculoskeletal Diseases
Poland Syndrome,C05.660.585.800.756,C05,Musculoskeletal Diseases
Thanatophoric Dysplasia,C05.660.585.984,C05,Musculoskeletal Diseases
"Upper Extremity Deformities, Congenital",C05.660.585.988,C05,Musculoskeletal Diseases
"Hand Deformities, Congenital",C05.660.585.988.425,C05,Musculoskeletal Diseases
Pectus Carinatum,C05.660.745,C05,Musculoskeletal Diseases
Synostosis,C05.660.906,C05,Musculoskeletal Diseases
Antley-Bixler Syndrome Phenotype,C05.660.906.181,C05,Musculoskeletal Diseases
Craniosynostoses,C05.660.906.364,C05,Musculoskeletal Diseases
Acrocephalosyndactylia,C05.660.906.364.100,C05,Musculoskeletal Diseases
Syndactyly,C05.660.906.819,C05,Musculoskeletal Diseases
Acrocephalosyndactylia,C05.660.906.819.100,C05,Musculoskeletal Diseases
Fraser Syndrome,C05.660.906.819.428,C05,Musculoskeletal Diseases
Poland Syndrome,C05.660.906.819.756,C05,Musculoskeletal Diseases
Tarsal Coalition,C05.660.906.909,C05,Musculoskeletal Diseases
Rheumatic Diseases,C05.799,C05,Musculoskeletal Diseases
"Arthritis, Juvenile",C05.799.056,C05,Musculoskeletal Diseases
"Arthritis, Rheumatoid",C05.799.114,C05,Musculoskeletal Diseases
Caplan Syndrome,C05.799.114.219,C05,Musculoskeletal Diseases
Felty Syndrome,C05.799.114.389,C05,Musculoskeletal Diseases
Rheumatoid Nodule,C05.799.114.683,C05,Musculoskeletal Diseases
Rheumatoid Vasculitis,C05.799.114.728,C05,Musculoskeletal Diseases
Sjogren's Syndrome,C05.799.114.774,C05,Musculoskeletal Diseases
"Still's Disease, Adult-Onset",C05.799.114.870,C05,Musculoskeletal Diseases
Fibromyalgia,C05.799.321,C05,Musculoskeletal Diseases
Gout,C05.799.414,C05,Musculoskeletal Diseases
"Arthritis, Gouty",C05.799.414.410,C05,Musculoskeletal Diseases
"Hyperostosis, Sternocostoclavicular",C05.799.440,C05,Musculoskeletal Diseases
Osteoarthritis,C05.799.613,C05,Musculoskeletal Diseases
"Osteoarthritis, Hip",C05.799.613.400,C05,Musculoskeletal Diseases
"Osteoarthritis, Knee",C05.799.613.500,C05,Musculoskeletal Diseases
"Osteoarthritis, Spine",C05.799.613.750,C05,Musculoskeletal Diseases
Polymyalgia Rheumatica,C05.799.720,C05,Musculoskeletal Diseases
Rheumatic Fever,C05.799.825,C05,Musculoskeletal Diseases
Rheumatic Nodule,C05.799.825.566,C05,Musculoskeletal Diseases
Wissler's Syndrome,C05.799.825.823,C05,Musculoskeletal Diseases
Digestive System Diseases,C06,C06,Digestive System Diseases
Biliary Tract Diseases,C06.130,C06,Digestive System Diseases
Bile Duct Diseases,C06.130.120,C06,Digestive System Diseases
Bile Duct Neoplasms,C06.130.120.120,C06,Digestive System Diseases
Common Bile Duct Neoplasms,C06.130.120.120.280,C06,Digestive System Diseases
Biliary Atresia,C06.130.120.123,C06,Digestive System Diseases
Choledochal Cyst,C06.130.120.127,C06,Digestive System Diseases
Caroli Disease,C06.130.120.127.500,C06,Digestive System Diseases
Cholestasis,C06.130.120.135,C06,Digestive System Diseases
"Cholestasis, Extrahepatic",C06.130.120.135.150,C06,Digestive System Diseases
"Cholestasis, Intrahepatic",C06.130.120.135.250,C06,Digestive System Diseases
Alagille Syndrome,C06.130.120.135.250.125,C06,Digestive System Diseases
"Liver Cirrhosis, Biliary",C06.130.120.135.250.250,C06,Digestive System Diseases
Mirizzi Syndrome,C06.130.120.135.812,C06,Digestive System Diseases
Cholangitis,C06.130.120.200,C06,Digestive System Diseases
"Cholangitis, Sclerosing",C06.130.120.200.110,C06,Digestive System Diseases
Common Bile Duct Diseases,C06.130.120.250,C06,Digestive System Diseases
Biliary Dyskinesia,C06.130.120.250.098,C06,Digestive System Diseases
Sphincter of Oddi Dysfunction,C06.130.120.250.098.800,C06,Digestive System Diseases
Choledocholithiasis,C06.130.120.250.174,C06,Digestive System Diseases
Common Bile Duct Neoplasms,C06.130.120.250.280,C06,Digestive System Diseases
Pancreaticobiliary Maljunction,C06.130.120.250.640,C06,Digestive System Diseases
Bile Reflux,C06.130.140,C06,Digestive System Diseases
Biliary Tract Neoplasms,C06.130.320,C06,Digestive System Diseases
Bile Duct Neoplasms,C06.130.320.120,C06,Digestive System Diseases
Common Bile Duct Neoplasms,C06.130.320.120.280,C06,Digestive System Diseases
Gallbladder Neoplasms,C06.130.320.401,C06,Digestive System Diseases
Cholelithiasis,C06.130.409,C06,Digestive System Diseases
Cholecystolithiasis,C06.130.409.178,C06,Digestive System Diseases
Choledocholithiasis,C06.130.409.267,C06,Digestive System Diseases
Gallstones,C06.130.409.633,C06,Digestive System Diseases
Gallbladder Diseases,C06.130.564,C06,Digestive System Diseases
Cholecystitis,C06.130.564.263,C06,Digestive System Diseases
Acalculous Cholecystitis,C06.130.564.263.249,C06,Digestive System Diseases
"Cholecystitis, Acute",C06.130.564.263.500,C06,Digestive System Diseases
Emphysematous Cholecystitis,C06.130.564.263.500.500,C06,Digestive System Diseases
Cholecystolithiasis,C06.130.564.332,C06,Digestive System Diseases
Gallstones,C06.130.564.332.500,C06,Digestive System Diseases
Gallbladder Neoplasms,C06.130.564.401,C06,Digestive System Diseases
Postcholecystectomy Syndrome,C06.130.825,C06,Digestive System Diseases
Digestive System Abnormalities,C06.198,C06,Digestive System Diseases
Anorectal Malformations,C06.198.025,C06,Digestive System Diseases
"Anus, Imperforate",C06.198.050,C06,Digestive System Diseases
Biliary Atresia,C06.198.125,C06,Digestive System Diseases
Choledochal Cyst,C06.198.184,C06,Digestive System Diseases
Caroli Disease,C06.198.184.500,C06,Digestive System Diseases
Diaphragmatic Eventration,C06.198.257,C06,Digestive System Diseases
Esophageal Atresia,C06.198.330,C06,Digestive System Diseases
Hirschsprung Disease,C06.198.439,C06,Digestive System Diseases
Intestinal Atresia,C06.198.719,C06,Digestive System Diseases
Meckel Diverticulum,C06.198.859,C06,Digestive System Diseases
Median Arcuate Ligament Syndrome,C06.198.929,C06,Digestive System Diseases
Pancreaticobiliary Maljunction,C06.198.964,C06,Digestive System Diseases
Digestive System Fistula,C06.267,C06,Digestive System Diseases
Biliary Fistula,C06.267.150,C06,Digestive System Diseases
Esophageal Fistula,C06.267.250,C06,Digestive System Diseases
Tracheoesophageal Fistula,C06.267.250.725,C06,Digestive System Diseases
Gastric Fistula,C06.267.375,C06,Digestive System Diseases
Intestinal Fistula,C06.267.550,C06,Digestive System Diseases
Rectal Fistula,C06.267.550.600,C06,Digestive System Diseases
Rectovaginal Fistula,C06.267.550.600.650,C06,Digestive System Diseases
Pancreatic Fistula,C06.267.775,C06,Digestive System Diseases
Digestive System Neoplasms,C06.301,C06,Digestive System Diseases
Biliary Tract Neoplasms,C06.301.120,C06,Digestive System Diseases
Bile Duct Neoplasms,C06.301.120.250,C06,Digestive System Diseases
Common Bile Duct Neoplasms,C06.301.120.250.250,C06,Digestive System Diseases
Gallbladder Neoplasms,C06.301.120.401,C06,Digestive System Diseases
Gastrointestinal Neoplasms,C06.301.371,C06,Digestive System Diseases
Esophageal Neoplasms,C06.301.371.205,C06,Digestive System Diseases
Esophageal Squamous Cell Carcinoma,C06.301.371.205.500,C06,Digestive System Diseases
Gastrointestinal Stromal Tumors,C06.301.371.308,C06,Digestive System Diseases
Intestinal Neoplasms,C06.301.371.411,C06,Digestive System Diseases
Cecal Neoplasms,C06.301.371.411.184,C06,Digestive System Diseases
Appendiceal Neoplasms,C06.301.371.411.184.290,C06,Digestive System Diseases
Colorectal Neoplasms,C06.301.371.411.307,C06,Digestive System Diseases
Adenomatous Polyposis Coli,C06.301.371.411.307.090,C06,Digestive System Diseases
Gardner Syndrome,C06.301.371.411.307.090.500,C06,Digestive System Diseases
Colonic Neoplasms,C06.301.371.411.307.180,C06,Digestive System Diseases
Colitis-Associated Neoplasms,C06.301.371.411.307.180.400,C06,Digestive System Diseases
Sigmoid Neoplasms,C06.301.371.411.307.180.800,C06,Digestive System Diseases
"Colorectal Neoplasms, Hereditary Nonpolyposis",C06.301.371.411.307.190,C06,Digestive System Diseases
Rectal Neoplasms,C06.301.371.411.307.790,C06,Digestive System Diseases
Anus Neoplasms,C06.301.371.411.307.790.040,C06,Digestive System Diseases
Anal Gland Neoplasms,C06.301.371.411.307.790.040.040,C06,Digestive System Diseases
Duodenal Neoplasms,C06.301.371.411.445,C06,Digestive System Diseases
Ileal Neoplasms,C06.301.371.411.501,C06,Digestive System Diseases
Immunoproliferative Small Intestinal Disease,C06.301.371.411.512,C06,Digestive System Diseases
Jejunal Neoplasms,C06.301.371.411.523,C06,Digestive System Diseases
Stomach Neoplasms,C06.301.371.767,C06,Digestive System Diseases
Zollinger-Ellison Syndrome,C06.301.371.883,C06,Digestive System Diseases
Liver Neoplasms,C06.301.623,C06,Digestive System Diseases
"Adenoma, Liver Cell",C06.301.623.040,C06,Digestive System Diseases
"Carcinoma, Hepatocellular",C06.301.623.160,C06,Digestive System Diseases
"Liver Neoplasms, Experimental",C06.301.623.460,C06,Digestive System Diseases
Pancreatic Neoplasms,C06.301.761,C06,Digestive System Diseases
"Adenoma, Islet Cell",C06.301.761.249,C06,Digestive System Diseases
Insulinoma,C06.301.761.249.500,C06,Digestive System Diseases
"Carcinoma, Islet Cell",C06.301.761.500,C06,Digestive System Diseases
Gastrinoma,C06.301.761.500.124,C06,Digestive System Diseases
Glucagonoma,C06.301.761.500.249,C06,Digestive System Diseases
Somatostatinoma,C06.301.761.500.500,C06,Digestive System Diseases
Vipoma,C06.301.761.500.750,C06,Digestive System Diseases
"Carcinoma, Pancreatic Ductal",C06.301.761.750,C06,Digestive System Diseases
Pancreatic Intraductal Neoplasms,C06.301.761.875,C06,Digestive System Diseases
Peritoneal Neoplasms,C06.301.780,C06,Digestive System Diseases
Gastrointestinal Diseases,C06.405,C06,Digestive System Diseases
Esophageal Diseases,C06.405.117,C06,Digestive System Diseases
Barrett Esophagus,C06.405.117.102,C06,Digestive System Diseases
Deglutition Disorders,C06.405.117.119,C06,Digestive System Diseases
Esophageal Motility Disorders,C06.405.117.119.500,C06,Digestive System Diseases
CREST Syndrome,C06.405.117.119.500.204,C06,Digestive System Diseases
Esophageal Achalasia,C06.405.117.119.500.432,C06,Digestive System Diseases
"Esophageal Spasm, Diffuse",C06.405.117.119.500.450,C06,Digestive System Diseases
Gastroesophageal Reflux,C06.405.117.119.500.484,C06,Digestive System Diseases
Laryngopharyngeal Reflux,C06.405.117.119.500.484.500,C06,Digestive System Diseases
Respiratory Aspiration of Gastric Contents,C06.405.117.119.500.484.500.500,C06,Digestive System Diseases
Plummer-Vinson Syndrome,C06.405.117.119.500.742,C06,Digestive System Diseases
"Diverticulosis, Esophageal",C06.405.117.136,C06,Digestive System Diseases
Esophageal and Gastric Varices,C06.405.117.240,C06,Digestive System Diseases
Esophageal Atresia,C06.405.117.260,C06,Digestive System Diseases
Esophageal Cyst,C06.405.117.316,C06,Digestive System Diseases
Esophageal Fistula,C06.405.117.367,C06,Digestive System Diseases
Tracheoesophageal Fistula,C06.405.117.367.725,C06,Digestive System Diseases
Esophageal Neoplasms,C06.405.117.430,C06,Digestive System Diseases
Esophageal Squamous Cell Carcinoma,C06.405.117.430.500,C06,Digestive System Diseases
Esophageal Perforation,C06.405.117.468,C06,Digestive System Diseases
Mallory-Weiss Syndrome,C06.405.117.468.524,C06,Digestive System Diseases
Esophageal Stenosis,C06.405.117.544,C06,Digestive System Diseases
Esophagitis,C06.405.117.620,C06,Digestive System Diseases
Eosinophilic Esophagitis,C06.405.117.620.209,C06,Digestive System Diseases
"Esophagitis, Peptic",C06.405.117.620.420,C06,Digestive System Diseases
Gastroenteritis,C06.405.205,C06,Digestive System Diseases
Appendicitis,C06.405.205.099,C06,Digestive System Diseases
Cholera Morbus,C06.405.205.200,C06,Digestive System Diseases
Colitis,C06.405.205.265,C06,Digestive System Diseases
"Colitis, Ischemic",C06.405.205.265.115,C06,Digestive System Diseases
"Colitis, Microscopic",C06.405.205.265.173,C06,Digestive System Diseases
"Colitis, Collagenous",C06.405.205.265.173.500,C06,Digestive System Diseases
